round_num,auc,auc_std,optimal_youden_index,optimal_youden_index_std,assay_source,model,llr_auc,num_positive,num_negative
3,0.551596760092208,0.014627697519163017,1123.6,374.3965811809718,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
4,0.5621207368190408,0.022747852265957588,924.0,91.67333309092672,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
5,0.5623745975883766,0.019867097275121363,796.4,289.4802238495749,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
6,0.5673661924275539,0.023750854148068032,695.2,359.52635508401886,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
7,0.5742146631990683,0.017722684503077783,807.6,300.7769938010552,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
8,0.5798140644451217,0.018338607129175667,827.6,366.53894745306394,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
9,0.5728478863125824,0.01814595515143569,650.0,375.2812278811718,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
10,0.5776977187229956,0.020043273641216768,631.6,155.26364674320902,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
11,0.5750420608826545,0.020857293343266088,710.0,385.9818648589594,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
1,0.5,0.0,0.0,0.0,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
2,0.5297910279087776,0.02256041958090289,369.6,155.3344778212487,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
3,0.5236288650081657,0.011752953017698105,419.2,171.96860178532592,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
4,0.5314674034084607,0.007791913188761431,310.6,212.9572727098091,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
5,0.5467375269280764,0.02056971514632217,316.2,128.81071384011503,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
6,0.5530878760233857,0.02591945314842212,239.8,143.3917710330687,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
7,0.5578630714735935,0.011607071822788249,378.0,122.12493602864241,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
8,0.5642191834812322,0.0166727517600142,224.8,84.09340045449464,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
9,0.5595484371062407,0.015431804605326394,265.8,66.43944611448835,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
10,0.5761913935954276,0.015823751247480068,280.2,77.28001035196618,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
11,0.5857564319711371,0.016672305094005066,283.8,98.03162754948018,SRC,GOF/LOF,0.7482102141125369,396.0,1679.0
1,0.5,0.0,0.0,0.0,SRC,GOF_10%,0.545918487256709,364.0,3273.0
2,0.5236621548284355,0.03381456388246852,355.2,169.11889309003888,SRC,GOF_10%,0.545918487256709,364.0,3273.0
3,0.5317534051737959,0.01770692969655865,327.0,171.07600650003494,SRC,GOF_10%,0.545918487256709,364.0,3273.0
4,0.5259859835863687,0.017048197739197236,169.4,122.2857309746317,SRC,GOF_10%,0.545918487256709,364.0,3273.0
5,0.5422964577334002,0.028311432335364945,294.8,185.91853054496747,SRC,GOF_10%,0.545918487256709,364.0,3273.0
6,0.5435355980195323,0.021320928949920406,250.8,203.19128918337026,SRC,GOF_10%,0.545918487256709,364.0,3273.0
7,0.5478069221285095,0.04136883516545978,201.0,141.26216761751888,SRC,GOF_10%,0.545918487256709,364.0,3273.0
8,0.5546052864075321,0.033339335408219185,280.8,77.99487162628067,SRC,GOF_10%,0.545918487256709,364.0,3273.0
9,0.5509213640028243,0.026200655965256742,195.2,105.28627640865642,SRC,GOF_10%,0.545918487256709,364.0,3273.0
10,0.5685217092944131,0.03136066509490029,333.2,96.68091848963786,SRC,GOF_10%,0.545918487256709,364.0,3273.0
11,0.5680254730086369,0.03668391701986322,216.4,106.26758677978906,SRC,GOF_10%,0.545918487256709,364.0,3273.0
1,0.5,0.0,0.0,0.0,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
2,0.5204182977695525,0.02499117162690869,567.6,322.03074387393514,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
3,0.5195037159306193,0.011956376010051119,761.0,222.62973745661202,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
4,0.5260835324761757,0.008437447102563729,350.2,299.6150864025375,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
5,0.5309461375025013,0.01398773426415573,496.4,317.3520127555519,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
6,0.5383519701811886,0.023229924582221118,459.6,323.43360987998756,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
7,0.5450024261059424,0.016164931501182204,659.0,126.90547663517125,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
8,0.5503857705315209,0.01017217652434914,554.8,188.02446649306043,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
9,0.5452771283352156,0.01194062320862058,526.0,173.81024135533556,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
10,0.557251167747614,0.016485264195169318,582.0,178.6896751354146,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
11,0.5613648866365225,0.023011209595766694,555.6,157.13942853402514,SRC,GOF_20%,0.6190011861634412,728.0,2909.0
1,0.5,0.0,0.0,0.0,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
2,0.5205242957928207,0.017062187027299114,350.0,178.93574265640726,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
3,0.5139699992518219,0.016049712844494267,350.8,131.29051755553408,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
4,0.5370445027415759,0.013753087659484277,312.6,177.25631159425606,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
5,0.5323923092267118,0.016530025246291925,211.8,71.59748598938374,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
6,0.5318272116570592,0.02140176453045965,335.4,51.505339529023594,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
7,0.5401758157560279,0.00873187605299356,322.6,106.77452879783642,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
8,0.545667118390413,0.014435116271534579,327.2,115.7289937742483,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
9,0.5427438288942344,0.010922418186447985,234.0,107.53604047016053,SRC,LOF_10%,0.7899329512528412,3273.0,364.0
